episode,timestep,reward,steps,visibility_pct,mean_centering_dist,mean_fraction,mean_action_mag,mean_action_jerk,r_stability,r_centering,r_scale,r_vel_damp,r_smooth,phase,target_speed,target_offset,init_pos,init_vel,init_ang
1,112,-109.08,112,31.2,0.75,0.1114,0.5092,0.6638,0.5688,0.2117,0.1668,0.2158,-0.7859,A,0.053,0.2,0.2,0.1,0.03
2,242,-98.89,130,60.8,1.0218,0.0864,0.5038,0.6742,0.4695,0.0127,0.2593,0.1469,-0.8123,A,0.0894,0.201,0.2,0.1,0.03
3,300,-28.07,58,69.0,0.8436,0.1201,0.5066,0.6986,0.4736,0.0493,0.3891,0.2822,-0.8321,A,0.0631,0.201,0.2,0.1,0.03
4,366,21.47,66,75.8,0.5869,0.2016,0.5093,0.6856,0.5774,0.642,0.6373,0.2745,-0.8478,A,0.0681,0.201,0.2,0.1,0.03
5,455,-72.47,89,36.0,0.7454,0.1768,0.4911,0.6665,0.3617,0.0845,0.2702,0.218,-0.7854,A,0.0668,0.201,0.201,0.1,0.03
6,548,-129.92,93,0.0,0.0,0.0,0.5032,0.6744,0.5743,0.0,0.0,0.2401,-0.8168,A,0.0822,0.201,0.201,0.1,0.03
7,599,-47.67,51,45.1,1.0816,0.0502,0.5138,0.6538,0.426,0.005,0.1198,0.2834,-0.7642,A,0.0907,0.201,0.201,0.1,0.03
8,663,-89.99,64,0.0,0.0,0.0,0.4831,0.6707,0.5079,0.0,0.0,0.2737,-0.7774,A,0.099,0.202,0.201,0.1,0.03
9,722,-77.21,59,0.0,0.0,0.0,0.4855,0.5896,0.4419,0.0,0.0,0.2796,-0.6397,A,0.0623,0.202,0.201,0.1,0.03
10,839,-173.75,117,0.0,0.0,0.0,0.5226,0.7428,0.6306,0.0,0.0,0.2469,-0.9618,A,0.0699,0.202,0.201,0.101,0.03
11,932,-103.34,93,34.4,0.9793,0.0468,0.4969,0.6328,0.3528,0.009,0.0851,0.1706,-0.7401,A,0.0869,0.202,0.201,0.101,0.03
12,1001,-39.57,69,55.1,0.8868,0.1363,0.491,0.6405,0.4651,0.0474,0.3468,0.232,-0.7643,A,0.0625,0.203,0.201,0.101,0.03
13,1060,-59.29,59,28.8,1.0345,0.0255,0.4735,0.6317,0.5244,0.0036,0.0506,0.3051,-0.7062,A,0.0604,0.203,0.201,0.101,0.03
14,1191,-215.16,131,0.0,0.0,0.0,0.504,0.6711,0.2815,0.0,0.0,0.1007,-0.8075,A,0.0666,0.203,0.201,0.101,0.03
15,1280,-47.83,89,43.8,0.7095,0.1886,0.4645,0.6487,0.3908,0.2102,0.3478,0.1954,-0.7313,A,0.0942,0.203,0.202,0.101,0.03
16,1385,-91.53,105,42.9,0.6028,0.1002,0.5117,0.653,0.487,0.3898,0.2003,0.2179,-0.763,A,0.0527,0.203,0.202,0.101,0.03
17,1463,-41.2,78,52.6,0.9032,0.1155,0.4978,0.6421,0.5475,0.0217,0.2854,0.271,-0.7556,A,0.0729,0.204,0.202,0.101,0.03
18,1516,-26.76,53,43.4,0.6017,0.2043,0.5202,0.7261,0.3767,0.4792,0.3063,0.2698,-0.907,A,0.0633,0.204,0.202,0.101,0.03
19,1585,-92.24,69,20.3,1.0403,0.0412,0.4905,0.6719,0.3042,0.0015,0.0454,0.1754,-0.7688,A,0.0697,0.204,0.202,0.101,0.03
20,1667,-76.22,82,45.1,1.0488,0.0389,0.504,0.6725,0.4856,0.009,0.101,0.2286,-0.8174,A,0.0963,0.204,0.202,0.101,0.03
